Date,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO
01-01-2018,1175.70813,156.9272614,258.4778748,2111.290039,598.7224731,724.4500122,540.6665649,145.917923,427.4602051,18664.97852
08-01-2018,1143.65271,157.8009796,258.914978,2139.595703,596.2807617,833.2999878,524.9534302,147.5531616,408.3917236,18506.38086
15-01-2018,1120.755981,160.7618713,239.7306976,2129.432373,588.0274658,822.2000122,524.0432739,146.6784973,392.44104,18024.74414
22-01-2018,1116.619873,162.3151093,245.6559448,2103.62793,606.8291626,822.9500122,555.6610107,148.6560211,384.6238098,17827.26367
29-01-2018,1133.509277,148.5785217,239.7792664,2151.463379,565.6120605,802.7000122,488.5448303,155.6914063,362.7537842,16747.28906
05-02-2018,1104.802002,151.8306427,240.0220947,2107.493408,607.4152832,838.4000244,493.2396545,144.2065735,381.1445007,16673.64844
12-02-2018,1120.903687,147.9475098,239.487854,2174.084717,595.7435913,793.4500122,483.5147095,147.2563171,367.7242126,16672.0293
19-02-2018,1213.376831,141.3461761,238.467926,2257.023193,581.288269,781.7000122,485.81427,144.7242126,358.4759521,16892.5957
26-02-2018,1164.136597,134.3565216,238.1764984,2245.996338,568.3468628,777.2999878,489.5029907,149.6903381,359.3553772,16326.00195
05-03-2018,1132.425903,127.6581192,239.6821136,2201.071533,559.9960327,740.3499756,481.742218,151.3784485,343.5722046,15743.00684
12-03-2018,1054.035645,139.5502319,244.9274139,2210.483887,545.9802246,746.4500122,495.4433289,144.9793854,366.7146301,16133.93066
19-03-2018,991.6481934,129.21138,236.136673,2201.230713,524.7855835,724.0499878,470.1968994,132.4953918,353.1994324,15728.46484
26-03-2018,1046.501831,138.0455017,249.1042786,2260.546875,530.5970459,725.9000244,467.3225403,138.4233246,377.2675476,15897.84277
02-04-2018,1058.614746,145.9088593,257.4579468,2353.125,546.0778198,729.1500244,509.0964661,137.010025,395.318634,16743.89844
09-04-2018,1065.804077,146.1515656,264.1603394,2366.880127,541.6826782,722.75,523.5641479,129.7865906,398.4197388,16644.07617
16-04-2018,1115.388672,139.2104492,261.3433838,2422.240479,574.1583252,780,525.3365479,126.0570831,399.345459,16607.23438
23-04-2018,1056.300537,139.1133728,271.5911865,2481.26123,585.8787842,801.2999878,525.4803467,127.7451706,415.2674255,16735.79297
30-04-2018,1081.462402,135.7641754,264.0631409,2447.863037,583.0463867,808.9000244,518.0070801,126.9600296,409.0189514,16078.86328
