Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS
01-01-2018,415.9965515,345.8676453,180.6571503,440.3162537,3031.322998,1263.034912,104.9787521,151.9250488,552.4257202,526.0438843
01-02-2018,396.1109924,301.7822876,186.4468384,420.5069885,2953.516846,1215.440918,100.6624603,140.6118622,509.9864502,526.0438843
01-03-2018,343.4869385,310.004303,170.856842,433.1628723,2954.442627,1229.82959,106.3968048,132.7710419,471.6433411,548.4113159
01-04-2018,395.0924072,280.9221497,182.0471649,470.7951965,3112.430176,1391.750366,107.9328766,136.4950562,503.3657227,575.8018188
01-05-2018,380.3965149,292.9611816,189.2332916,407.1131287,2956.193604,1486.338257,105.0488129,134.491684,457.5921936,611.6498413
01-06-2018,361.9659729,270.7324524,168.8567505,415.1260986,2896.650879,1513.732422,100.0957642,119.7497406,537.2789917,562.793396
01-07-2018,387.7687378,282.6627502,166.7807922,432.5377808,2747.335938,1609.25769,97.08630371,125.2685089,541.5658569,584.5169678
01-08-2018,373.5397949,262.6098328,182.6540527,468.9972229,2775.458008,1654.283203,107.5253448,136.1170654,621.9196167,672.4555054
01-09-2018,320.6504822,276.6792603,170.0704041,488.5279541,2502.032227,1494.718872,104.6099472,133.9624786,593.7219849,654.6298218
01-10-2018,310.8526001,203.4330292,170.0065308,474.0668945,2356.256836,1507.078613,101.5407257,116.7628021,554.4260254,653.2249146
01-11-2018,356.4786987,239.8897247,156.4328308,456.7604065,2606.054688,1639.330688,89.2337265,106.89608,470.6768494,619.9006958
01-12-2018,377.9756775,268.249054,153.7819519,433.9673767,2647.894043,1700.688721,94.79891968,114.2104111,411.3406677,635.0042725
01-01-2019,330.1559448,255.4560089,147.7800903,452.3502808,2229.673096,1647.976196,88.85210419,107.6199036,404.6043701,642.6876221
01-02-2019,317.6770325,249.6139984,150.1811523,474.2657471,2241.742676,1619.376587,89.8379364,113.2580185,425.338623,728.961792
01-03-2019,368.6652222,303.7797241,156.0357819,490.3021545,2219.345459,1595.216675,105.5434189,126.1916046,457.5387878,681.3244019
01-04-2019,382.9477539,290.2546387,170.0681152,533.5408936,2183.445313,1642.788696,105.0341263,134.5042725,437.2823181,734.1864624
01-05-2019,405.95578,312.7964783,170.9786835,492.601593,2329.828125,1671.575073,104.4072876,136.6903839,391.6096191,667.6697388
01-06-2019,399.9113464,299.8826904,171.181015,480.9234314,2243.989258,1670.734131,110.7539902,133.3516083,383.1057434,620.4714355
01-07-2019,368.0802612,264.0068054,137.895813,467.3266296,2048.058105,1625.432251,99.15752411,110.3777771,407.7575378,558.6965332
01-08-2019,356.7150574,271.4570618,124.6087112,497.0497437,2293.078125,1771.581177,95.31816101,96.3470459,430.3549805,622.2911377
01-09-2019,403.7796326,377.0160522,134.7932434,489.0402222,2411.385498,1865.766113,93.96239471,105.4258194,374.5353699,640.9961548
01-10-2019,386.075531,422.3285217,139.9866791,526.2183838,2410.894531,2047.828979,97.88082123,113.3447495,416.8021851,662.975708
01-11-2019,372.6633606,410.2585449,138.435379,511.2249756,2169.600342,1925.947388,93.04275513,105.3858261,432.6222229,683.1162109
01-12-2019,357.0076904,394.21875,142.5496674,515.1010742,2178.069824,1819.68103,95.20189667,103.0261307,415.9847107,683.8787842
01-01-2020,360.3241577,366.4698792,122.5515747,536.2275391,2230.491943,1924.953857,90.24388123,87.14826965,417.6677246,714.6501465
01-02-2020,333.7924194,341.9289246,113.5811005,486.1230469,1829.211426,2057.905029,85.2059021,73.55010223,358.6191711,667.8202515
01-03-2020,245.1257782,254.1509399,94.45982361,397.0133667,1463.667114,2175.006104,67.3330307,54.6326561,341.2539978,507.3244629
01-04-2020,286.0997925,312.9841614,109.1926193,494.4925537,1986.487427,2077.066895,76.48943329,68.65612793,449.8876953,496.7276917
01-05-2020,319.335083,289.9755859,103.8984375,500.5879822,2164.489014,1946.812988,78.74265289,71.49172974,459.3804016,482.3601074
01-06-2020,339.157959,316.3677673,97.68512726,506.5921936,2335.110352,2062.873535,77.09298706,69.90206909,458.1211853,494.1360474
01-07-2020,310.8536987,350.034668,95.03801727,641.5531616,2453.885498,2105.437988,70.0113678,67.28128052,515.0291138,619.852417
01-08-2020,350.8445435,344.9592896,98.78807068,633.6772461,2781.034912,2025.888916,77.57581329,70.41763306,503.9381409,679.3183594
01-09-2020,337.0375671,298.6460876,85.29523468,740.628479,2911.711914,1978.909546,70.59136963,59.50484085,485.682312,725.8439941
01-10-2020,354.888031,299.8303833,83.97168732,770.4597778,2590.223389,1981.827759,74.84223175,55.76698685,452.0062866,745.6000977
01-11-2020,405.8751221,315.5218201,92.31739807,755.7658081,2876.139893,2059.081543,80.90820313,67.45313263,496.5517883,819.1367798
01-12-2020,477.0795593,322.3736877,105.7830582,869.8064575,2877.203613,2306.764404,84.88098907,79.95560455,574.8704224,909.1452637
01-01-2021,502.6717529,324.4884338,98.32473755,840.2505493,3012.321289,2180.130615,75.99562836,75.8740387,568.9018555,898.1218872
01-02-2021,666.5800171,380.529541,118.8643799,839.4278564,2982.670166,2053.15918,91.67318726,95.37960815,577.0539551,858.3723145
01-03-2021,692.7145996,376.4141541,101.800087,906.9920044,2699.343994,2341.529053,93.85221863,89.28095245,585.2313843,926.1939697
01-04-2021,719.9832764,375.3699951,107.4794617,829.7363892,2611.839355,2266.655762,90.24081421,94.52505493,640.6902466,897.1876831
01-05-2021,758.9386597,420.0442505,119.3138885,881.9725952,2786.338623,2253.462402,97.33148956,99.33216095,654.2490845,954.40625
01-06-2021,693.9966431,416.5735474,118.4657135,917.7105713,2689.152832,2379.855957,102.5283737,102.8719254,661.2487183,1023.348755
01-07-2021,669.8594971,396.4612732,115.7595291,956.3878174,2560.09668,2263.220459,104.1138535,100.774292,757.6778564,1129.938965
01-08-2021,743.1517334,419.7327881,117.819458,1109.869629,2549.203125,2642.283203,102.1319962,105.3628845,777.3551636,1388.67981
01-09-2021,732.8233032,384.6252747,149.5260925,1201.161865,2633.483887,2620.652832,124.9454422,126.2956314,803.1567993,1324.361084
01-10-2021,688.2322388,400.3184814,136.1493683,1073.681152,2470.407959,2321.272705,123.2447205,132.3130951,780.3356934,1417.649658
01-11-2021,679.1451416,354.6033936,125.8419342,1077.634155,2277.208252,2261.758057,118.2276001,126.1435089,739.6993408,1478.658813
01-12-2021,725.2755737,373.7437134,120.9158707,1248.414429,2289.108887,2303.332275,115.5796738,131.0821991,830.1005249,1734.706421
01-01-2022,711.3718872,384.9914246,140.1980896,1040.487427,2532.885986,2219.012695,131.978241,158.881958,819.1070557,1432.873047
01-02-2022,702.6324463,339.1763916,148.7520905,1075.529663,2357.305176,2119.80957,124.034462,147.8817139,828.3336792,1366.025024
01-03-2022,768.8735962,353.1373596,165.5436249,1110.650879,2180.112793,1999.331299,129.0862427,152.4625092,904.961853,1452.685059
01-04-2022,850.5080566,356.3311768,165.3627625,1030.006348,2382.050049,2181.049072,149.3575439,149.2532654,918.7131348,1219.734375
01-05-2022,734.7598877,320.5604858,174.4515839,1009.854187,2636.015625,2296.598633,149.1663208,140.695282,851.3912964,1143.44043
01-06-2022,667.4263306,303.0682068,167.8497467,944.3579712,2584.509521,2176.901367,136.640152,140.97435,821.7122803,968.8120728
01-07-2022,758.4458008,324.5895691,191.0466461,920.2457275,2677.971191,2619.822021,146.2499237,124.7885666,933.1074219,1015.944763
01-08-2022,842.1500244,322.9681091,212.3443909,921.3096313,2765.555908,2642.122803,156.8158722,128.9280396,883.4940796,1057.713867
01-09-2022,820.6500244,304.7999878,194.6065521,914.8335571,2484.390625,2678.478516,155.58461,120.7619095,941.5803833,991.3671265
01-10-2022,823.5499878,303.6499939,225.5052032,1021.589478,2608.79541,2533.699951,168.6921234,127.6666718,1009.321777,1045.230835
01-11-2022,881,341.1499939,208.3596497,1110.74939,2779.394775,2666.459473,167.815033,134.3809662,1038.254517,1058.598511
01-12-2022,818.0999756,330.5,219.6721649,1029.980225,2669.219238,2561.050049,162.2114563,146.75,993.9372559,1016.400024
