Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS,Open
02-01-2018,385.4891357,351.1367798,162.8658295,398.4737549,3154.55249,1234.672241,110.3124695,146.9965363,545.0429688,441.2963257,269.4376221,327.1672058,242.5885162,100.3299713,526.2678833,59.40000153,300.7333679,1322.360962,2558.726074,159.2594299,10477.5498
03-01-2018,395.4319153,347.6942749,163.951416,400.4821472,3164.115234,1245.509888,109.1717377,144.4575806,542.0898438,446.0188904,269.512207,332.4161682,246.7924805,99.46740723,532.4000244,59.5,296.2551575,1335.486084,2560.163086,161.5675201,10482.65039
04-01-2018,397.565979,345.3055725,167.5398102,398.607605,3150.381348,1247.262451,109.2025681,148.9753723,553.6641235,448.6806335,269.4127502,332.7442017,246.0281219,100.8068924,539.2987061,64.40000153,298.5635376,1354.117432,2532.540771,164.7745819,10469.40039
05-01-2018,411.0979004,342.6358643,168.1127777,401.7095032,3155.226318,1251.228516,109.4492264,148.1912994,551.3301392,451.1706848,269.0645752,335.7435913,248.3689728,100.3401031,542.3648682,63.79999924,301.8876343,1390.691284,2563.262695,164.9932404,10534.25
08-01-2018,410.2248535,349.3101807,173.359726,401.9104614,3190.699707,1262.158447,109.5417175,147.4072266,563.5714111,460.4867859,276.2270203,338.6961365,248.6556091,100.9489594,539.538269,63.20000076,298.3787842,1371.322998,2613.611084,165.3333893,10591.7002
09-01-2018,408.4788208,348.5373535,183.3710785,398.9423828,3159.270508,1255.609863,108.9559097,147.1085205,558.7130737,458.3832092,271.3276978,336.8215027,257.8279114,101.6694489,529.142395,63.20000076,299.025177,1349.938965,2598.699951,164.0942993,10645.09961
10-01-2018,410.7583923,347.2727661,185.9342499,408.7615051,3148.696045,1259.760498,107.2602234,147.7805939,557.3793335,465.4669495,269.512207,335.3686218,257.3502197,100.6851273,526.6990967,62,296.9938965,1387.643433,2566.720459,162.6851501,10652.0498
11-01-2018,412.7469177,345.9378662,185.8136139,409.230072,3122.364746,1271.612793,106.9827652,147.7805939,560.0943604,473.7098694,271.7007446,337.3370056,258.4490051,100.5633621,525.836731,61.95000076,292.0539246,1361.442139,2569.190918,162.2478333,10637.0498
12-01-2018,410.612854,344.1815491,186.3564301,413.2469177,3106.945313,1267.323608,106.3661423,149.9087982,555.8075562,472.894165,268.7910156,335.6967163,256.5858459,101.7100372,526.1240845,61.04999924,288.7298889,1376.091187,2569.729736,164.9932404,10682.5498
15-01-2018,407.9938049,342.2846069,184.4867706,405.8157349,3057.611572,1261.051636,106.6436157,146.8098297,549.1392212,466.8837585,268.0946655,338.6023865,254.9615936,99.29489136,535.1308594,62.90000153,287.529541,1339.369873,2554.72876,164.8231659,10718.5
